Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
4356,先輩,せんぱい,senior; superior,JLPT3,Noun
2319,製作,せいさく,manufacture; production,JLPT2,Verbal Noun
2616,香り,かおり,perfume; fragrance,JLPT2,Noun
3287,香水,こうすい,perfume,JLPT2,Noun
2517,あえて,あえて,boldly,JLPT0,Adverb
4912,冒険,ぼうけん,adventure; risk,JLPT2,Verbal Noun
3153,合唱,がっしょう,chorus,JLPT1,Verbal Noun
3172,かえる,かえる,frog,JLPT0,Noun
2505,結晶,けっしょう,crystallization,JLPT1,Verbal Noun
3029,人格,じんかく,character; personality,JLPT1,Noun
3585,敬う,うやまう,respect; honor,JLPT2,Verb
3131,座敷,ざしき,drawing room; Japanese-style room,JLPT2,Noun
3945,敷金,しききん,deposit; key money,JLPT0,Noun
